,date,state,positive,tests,hospitalized,death_total,death,positive_total,pos_rate,death_rate,death_rate_est
2610,2020-10-17,NJ,934,34397,759.0,16204.0,2,218738.0,2.7153530831177135,7.40794923607238,0.7407949236072379
2611,2020-10-17,NM,573,10876,173.0,929.0,1,36343.0,5.268481059212946,2.556200643865394,0.25562006438653934
2612,2020-10-17,NV,967,8160,503.0,1707.0,0,89652.0,11.85049019607843,1.9040289117922635,0.19040289117922632
2613,2020-10-17,NY,1784,159972,929.0,25637.0,9,482891.0,1.1151951591528517,5.309065606938212,0.5309065606938211
2614,2020-10-17,OH,2234,50912,1079.0,5067.0,13,180225.0,4.387963544940289,2.811485642946317,0.2811485642946317
2615,2020-10-17,OK,1195,15887,792.0,1168.0,14,106503.0,7.5218732296846476,1.0966827225524163,0.10966827225524164
2616,2020-10-17,OR,381,6454,190.0,620.0,3,39316.0,5.903315773163929,1.5769661206633434,0.1576966120663343
2617,2020-10-17,PA,1857,18663,847.0,8466.0,9,180943.0,9.950168783153835,4.6788215073255115,0.4678821507325511
2618,2020-10-17,PR,119,119,317.0,761.0,3,28293.0,100.0,2.689711235994769,0.2689711235994769
2619,2020-10-17,RI,287,25384,125.0,1158.0,6,27978.0,1.1306334699023006,4.138966330688398,0.4138966330688398
2620,2020-10-17,SC,961,18734,759.0,3637.0,22,163214.0,5.129710686452439,2.2283627629982723,0.2228362762998272
2621,2020-10-17,SD,806,2214,295.0,315.0,8,32611.0,36.40469738030714,0.9659317408236485,0.09659317408236484
2622,2020-10-17,TN,2646,30620,1299.0,2903.0,32,226139.0,8.641410842586545,1.2837237274419715,0.12837237274419716
2623,2020-10-17,TX,4885,63190,4275.0,16984.0,81,820563.0,7.730653584427916,2.0697984188904446,0.20697984188904447
2624,2020-10-17,UT,1340,11802,313.0,540.0,3,93297.0,11.354007795288934,0.5787967458760731,0.057879674587607316
2625,2020-10-17,VA,1114,19481,993.0,3422.0,14,165238.0,5.718392279657102,2.070952202277926,0.20709522022779261
2626,2020-10-17,VI,0,0,,21.0,0,1329.0,,1.580135440180587,0.1580135440180587
2627,2020-10-17,VT,11,7915,3.0,58.0,0,1943.0,0.13897662665824384,2.9850746268656714,0.2985074626865672
2628,2020-10-17,WA,709,25062,280.0,2239.0,7,96894.0,2.828984119383928,2.3107725968584227,0.23107725968584225
2629,2020-10-17,WI,0,32435,1068.0,1588.0,0,175227.0,0.0,0.9062530317816317,0.09062530317816318
